timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-12-21,76.77,77.19,76.2,76.78,76.78,1824489,0.0000,1.0
2022-12-20,75.94,76.64,75.73,76.23,76.23,2470732,0.0000,1.0
2022-12-19,77.38,77.64,75.56,75.95,75.95,2216642,0.2100,1.0
2022-12-16,77.45,78.09,76.89,77.66,77.4458639706,4561050,0.0000,1.0
2022-12-15,80.47,80.59,78.04,78.15,77.9345128676,2199436,0.0000,1.0
2022-12-14,81.91,82.86,80.68,81.72,81.4946691176,3346370,0.0000,1.0
2022-12-13,82.0,82.74,80.76,81.97,81.7439797794,3573850,0.0000,1.0
2022-12-12,78.61,80.21,78.4,80.19,79.9688878676,2380469,0.0000,1.0
2022-12-09,79.38,79.73,78.44,78.51,78.2935202206,1411720,0.0000,1.0
2022-12-08,78.63,79.64,78.49,79.55,79.3306525735,2276555,0.0000,1.0
2022-12-07,77.99,78.69,77.57,78.06,77.8447610294,1515554,0.0000,1.0
2022-12-06,79.45,79.64,77.76,78.27,78.0541819853,1222280,0.0000,1.0
2022-12-05,79.99,80.08,78.87,79.48,79.2608455882,2053820,0.0000,1.0
2022-12-02,79.84,80.885,79.42,80.62,80.3977022059,1340305,0.0000,1.0
2022-12-01,81.0,81.31,80.24,80.87,80.6470128676,1655835,0.0000,1.0
2022-11-30,77.5,80.44,77.1625,80.43,80.2082261029,2737325,0.0000,1.0
2022-11-29,77.81,78.27,76.95,77.4,77.1865808824,1663859,0.0000,1.0
2022-11-28,79.71,79.77,77.43,77.82,77.6054227941,2311442,0.0000,1.0
2022-11-25,80.0,80.68,79.73,80.34,80.1184742647,793690,0.0000,1.0
2022-11-23,80.27,80.85,79.84,80.07,79.84921875,1499716,0.0000,1.0
2022-11-22,79.27,80.24,78.99,80.08,79.8591911765,3277361,0.0000,1.0
2022-11-21,79.32,80.04,79.17,79.57,79.3505974265,2180183,0.0000,1.0
2022-11-18,80.09,80.2,79.01,79.71,79.4902113971,1885184,0.0000,1.0
2022-11-17,77.9,79.035,77.63,78.93,78.7123621324,1356939,0.0000,1.0
2022-11-16,79.46,80.06,78.91,79.1,78.8818933824,1733521,0.0000,1.0
2022-11-15,80.2,80.64,78.66,79.7,79.4802389706,2289122,0.0000,1.0
2022-11-14,79.12,80.085,78.65,78.67,78.4530790441,2087180,0.0000,1.0
2022-11-11,79.51,80.22,78.89,79.32,79.1012867647,2711117,0.0000,1.0
2022-11-10,77.0,79.155,76.72,79.06,78.8420036765,3283458,0.0000,1.0
2022-11-09,75.54,75.92,74.24,74.48,74.2746323529,1848026,0.0000,1.0
2022-11-08,76.07,76.6,75.18,75.95,75.7405790441,2321742,0.0000,1.0
2022-11-07,76.5,76.5,75.34,75.84,75.6308823529,2741212,0.0000,1.0
2022-11-04,75.59,76.41,74.41,76.27,76.0596966912,2703118,0.0000,1.0
2022-11-03,73.04,74.675,72.68,74.25,74.0452665441,2572031,0.0000,1.0
2022-11-02,76.19,76.67,73.95,74.03,73.8258731618,2693841,0.0000,1.0
2022-11-01,76.52,77.09,75.4,76.77,76.5583180147,2952294,0.0000,1.0
2022-10-31,75.94,76.82,75.74,75.83,75.6209099265,2482497,0.0000,1.0
2022-10-28,74.31,76.69,74.265,76.43,76.2192555147,2709372,0.0000,1.0
2022-10-27,73.77,74.37,73.02,73.89,73.6862591912,3585366,0.0000,1.0
2022-10-26,73.0,73.99,71.41,73.19,72.9881893382,3692869,0.0000,1.0
2022-10-25,71.21,72.8989,71.21,72.75,72.5494025735,2823768,0.0000,1.0
2022-10-24,71.58,72.319,70.67,71.64,71.4424632353,3151233,0.0000,1.0
2022-10-21,68.99,71.85,68.99,71.55,71.3527113971,2625352,0.0000,1.0
