timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-12-21,133.74,136.43,133.09,136.33,136.33,539222,0.0000,1.0
2022-12-20,132.86,133.98,132.375,133.41,133.41,534685,0.0000,1.0
2022-12-19,132.96,135.46,132.25,133.21,133.21,709471,0.0000,1.0
2022-12-16,133.76,134.96,131.8275,133.35,133.35,1422685,0.0000,1.0
2022-12-15,138.67,139.635,134.38,134.96,134.96,853639,0.0000,1.0
2022-12-14,143.8,144.53,140.04,140.85,140.85,657220,0.7250,1.0
2022-12-13,149.18,149.8,144.41,145.2,144.456436518,491151,0.0000,1.0
2022-12-12,142.6,145.14,142.51,145.13,144.386794985,426261,0.0000,1.0
2022-12-09,144.36,144.95,141.78,142.11,141.382260286,721978,0.0000,1.0
2022-12-08,143.24,145.24,142.51,144.82,144.078382483,470342,0.0000,1.0
2022-12-07,143.33,144.155,141.72,142.39,141.660826417,288915,0.0000,1.0
2022-12-06,144.56,145.03,142.13,143.33,142.596012714,410074,0.0000,1.0
2022-12-05,147.22,147.405,144.48,144.98,144.237563129,340450,0.0000,1.0
2022-12-02,148.14,149.5234,146.63,148.99,148.227028077,359911,0.0000,1.0
2022-12-01,149.63,151.291,148.04,149.86,149.092572841,443379,0.0000,1.0
2022-11-30,142.65,149.36,142.65,149.11,148.346413562,1773572,0.0000,1.0
2022-11-29,146.22,146.5,142.025,142.82,142.088624404,738292,0.0000,1.0
2022-11-28,147.27,147.95,145.93,146.5,145.749779269,563766,0.0000,1.0
2022-11-25,148.24,149.36,147.78,148.52,147.759434928,257884,0.0000,1.0
2022-11-23,147.36,148.81,146.65,148.43,147.669895815,623238,0.0000,1.0
2022-11-22,147.18,148.69,146.25,148.36,147.600254282,701373,0.0000,1.0
2022-11-21,145.8,148.4,145.8,147.1,146.346706693,922851,0.0000,1.0
2022-11-18,144.49,144.88,141.83,144.6,143.859509094,685594,0.0000,1.0
2022-11-17,141.11,143.37,140.45,142.57,141.839904644,546199,0.0000,1.0
2022-11-16,143.06,144.17,142.54,142.96,142.22790747,472688,0.0000,1.0
2022-11-15,143.5,144.67,141.55,142.6,141.869751015,528856,0.0000,1.0
2022-11-14,139.6,142.89,139.42,141.32,140.596305845,572703,0.0000,1.0
2022-11-11,142.18,142.32,138.59,139.99,139.273116723,720024,0.0000,1.0
2022-11-10,139.21,141.596,138.39,141.24,140.516715522,827273,0.0000,1.0
2022-11-09,135.86,137.035,133.51,133.74,133.055122726,663819,0.0000,1.0
2022-11-08,136.46,139.33,135.55,136.49,135.791040085,803220,0.0000,1.0
2022-11-07,134.11,135.955,133.365,135.5,134.806109836,588129,0.0000,1.0
2022-11-04,135.64,135.9164,131.35,133.44,132.756659015,970044,0.0000,1.0
2022-11-03,136.0,137.55,133.09,133.91,133.224252163,1016914,0.0000,1.0
2022-11-02,146.6,146.69,137.63,137.73,137.024690094,1126725,0.0000,1.0
2022-11-01,151.37,151.37,148.53,149.6,148.833904291,616021,0.0000,1.0
2022-10-31,148.15,150.71,147.56,150.06,149.291548649,654922,0.0000,1.0
2022-10-28,145.04,149.04,145.04,148.9,148.137488963,476132,0.0000,1.0
2022-10-27,144.99,146.46,144.085,145.0,144.25746071,502080,0.0000,1.0
2022-10-26,144.58,146.41,142.86,144.33,143.590891753,520608,0.0000,1.0
2022-10-25,142.51,144.65,141.79,144.39,143.650584496,446957,0.0000,1.0
2022-10-24,142.56,142.99,139.53,142.4,141.670775207,624833,0.0000,1.0
2022-10-21,139.87,141.27,137.865,140.99,140.267995762,509709,0.0000,1.0
2022-10-20,144.09,144.28,137.43,140.4,139.681017129,772406,0.0000,1.0
2022-10-19,144.75,145.51,142.24,143.5,142.765142151,375631,0.0000,1.0
2022-10-18,145.89,147.07,144.4,145.56,144.814592972,464842,0.0000,1.0
2022-10-17,141.09,143.33,141.09,142.79,142.058778033,454629,0.0000,1.0
2022-10-14,144.42,145.405,138.95,139.1,138.387674378,697797,0.0000,1.0
2022-10-13,136.69,143.69,135.72,142.71,141.97918771,885231,0.0000,1.0
2022-10-12,142.65,142.92,139.64,139.67,138.95475543,493418,0.0000,1.0
2022-10-11,143.45,144.33,141.56,142.4,141.670775207,567965,0.0000,1.0
2022-10-10,143.69,144.49,141.465,143.53,142.794988522,605087,0.0000,1.0
2022-10-07,144.0,144.15,141.135,142.87,142.138368356,622840,0.0000,1.0
2022-10-06,150.54,150.98,145.03,145.44,144.695207487,548832,0.0000,1.0
2022-10-05,149.65,151.94,149.01,150.57,149.798936959,472270,0.0000,1.0
2022-10-04,150.33,152.8709,150.1,152.46,151.679258344,604767,0.0000,1.0
2022-10-03,145.93,149.69,145.305,148.91,148.147437754,848084,0.0000,1.0
2022-09-30,147.45,148.08,144.21,144.32,143.580942963,781638,0.0000,1.0
2022-09-29,148.52,148.84,145.355,146.9,146.147730885,814164,0.0000,1.0
2022-09-28,146.99,149.88,144.965,148.89,148.127540173,1690887,0.0000,1.0
2022-09-27,154.84,154.86,148.91,149.35,148.585184531,797390,0.0000,1.0
2022-09-26,154.0,154.99,152.45,153.21,152.425417623,561579,0.0000,1.0
2022-09-23,155.71,155.71,152.31,154.44,153.649118842,587651,0.0000,1.0
2022-09-22,159.48,160.04,157.1,157.17,156.365138619,440113,0.0000,1.0
2022-09-21,163.29,164.49,159.86,159.96,159.140851139,374238,0.0000,1.0
2022-09-20,164.26,164.26,160.68,162.11,161.279841074,367264,0.0000,1.0
2022-09-19,162.82,165.17,162.8024,165.07,164.22468303,248656,0.0000,1.0
2022-09-16,163.62,165.56,161.6396,163.63,162.792057213,863402,0.0000,1.0
2022-09-15,166.2,167.97,162.92,163.61,162.772159633,418325,0.0000,1.0
2022-09-14,168.11,168.925,165.76,166.76,165.906028607,349566,0.7250,1.0
2022-09-13,169.76,170.58,167.78,168.5,166.911459655,337429,0.0000,1.0
2022-09-12,172.9,173.59,171.785,173.04,171.408658627,403266,0.0000,1.0
2022-09-09,171.8,172.96,170.6,172.41,170.784597976,423724,0.0000,1.0
2022-09-08,168.56,171.11,168.56,170.94,169.328456459,339166,0.0000,1.0
2022-09-07,168.42,170.2,167.92,169.56,167.961466463,527466,0.0000,1.0
2022-09-06,166.54,169.55,166.17,167.87,166.287399004,439370,0.0000,1.0
2022-09-02,172.09,172.09,165.89,166.48,164.910503284,525054,0.0000,1.0
2022-09-01,171.06,171.79,169.26,171.71,170.091197254,450024,0.0000,1.0
2022-08-31,173.29,174.05,170.02,171.17,169.556288125,667470,0.0000,1.0
2022-08-30,174.22,175.28,171.11,172.59,170.962901019,485113,0.0000,1.0
2022-08-29,172.45,174.925,171.25,173.84,172.201116595,493916,0.0000,1.0
2022-08-26,176.34,176.88,173.63,173.99,172.349702465,954319,0.0000,1.0
2022-08-25,175.14,176.62,174.17,176.48,174.816227892,397300,0.0000,1.0
2022-08-24,174.2,175.08,173.135,174.49,172.844988695,477351,0.0000,1.0
2022-08-23,173.56,174.95,173.34,173.66,172.022813553,342471,0.0000,1.0
2022-08-22,174.1,175.34,173.77,174.65,173.003480289,334852,0.0000,1.0
2022-08-19,176.36,176.67,174.64,176.03,174.370470285,389576,0.0000,1.0
2022-08-18,177.98,178.18,175.39,177.15,175.479911441,409117,0.0000,1.0
2022-08-17,175.42,178.57,175.15,177.63,175.955386222,592216,0.0000,1.0
2022-08-16,177.16,179.74,176.09,177.32,175.648308759,929472,0.0000,1.0
2022-08-15,181.67,183.12,177.53,178.14,176.460578177,1063693,0.0000,1.0
2022-08-12,171.07,183.33,171.07,183.22,181.492686278,977321,0.0000,1.0
2022-08-11,171.22,171.38,169.335,169.73,168.129863781,484063,0.0000,1.0
