timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-12-21,94.78,96.4,94.46,95.79,95.79,1805519,0.0000,1.0
2022-12-20,92.35,94.27,92.315,94.0,94.0,3029940,0.0000,1.0
2022-12-19,94.27,94.53,92.27,93.13,93.13,3001034,0.0000,1.0
2022-12-16,94.1,95.48,92.75,94.78,94.78,5053267,0.0000,1.0
2022-12-15,96.86,97.51,94.47,94.93,94.93,2964941,0.2500,1.0
2022-12-14,99.34,100.135,96.27,97.73,97.4733021643,3761469,0.0000,1.0
2022-12-13,103.43,103.65,98.91,99.45,99.1887844085,2469340,0.0000,1.0
2022-12-12,98.06,99.95,97.59,99.64,99.3782853541,2446179,0.0000,1.0
2022-12-09,97.84,98.96,97.35,97.82,97.5630657701,2090432,0.0000,1.0
2022-12-08,99.75,101.045,98.29,98.93,98.6701502416,1680189,0.0000,1.0
2022-12-07,97.93,98.88,96.2,98.84,98.5803866358,2677578,0.0000,1.0
2022-12-06,101.31,101.44,96.83,97.65,97.3935122925,2299578,0.0000,1.0
2022-12-05,101.82,102.83,100.8067,101.43,101.163583736,2470358,0.0000,1.0
2022-12-02,101.89,103.41,101.41,103.08,102.809249842,2402153,0.0000,1.0
2022-12-01,103.74,105.34,103.08,103.53,103.258067871,2057811,0.0000,1.0
2022-11-30,99.19,104.53,98.68,103.78,103.507411221,3056259,0.0000,1.0
2022-11-29,99.79,100.6,98.64,99.83,99.5677862996,2907439,0.0000,1.0
2022-11-28,100.32,101.56,99.45,99.77,99.5079438958,1839835,0.0000,1.0
2022-11-25,100.29,102.42,100.2317,101.7,101.432874553,967836,0.0000,1.0
2022-11-23,98.4,101.135,98.3591,100.17,99.9068932549,1362951,0.0000,1.0
2022-11-22,96.53,99.56,95.65,99.18,98.9194935911,2000555,0.0000,1.0
2022-11-21,97.57,97.76,94.68,96.11,95.8575572599,2176165,0.0000,1.0
