timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-12-21,15.77,15.96,15.74,15.78,15.78,14255244,0.0000,1.0
2022-12-20,15.51,15.68,15.47,15.66,15.66,13188275,0.0000,1.0
2022-12-19,15.7,15.77,15.375,15.48,15.48,9138570,0.0000,1.0
2022-12-16,15.545,15.74,15.435,15.64,15.64,31670596,0.0000,1.0
2022-12-15,15.96,16.03,15.655,15.76,15.76,16562914,0.0000,1.0
2022-12-14,16.1,16.42,16.03,16.2,16.2,14978284,0.0000,1.0
2022-12-13,16.34,16.495,16.08,16.25,16.25,18008000,0.1200,1.0
2022-12-12,16.02,16.4,16.0,16.36,16.2400733048,11246487,0.0000,1.0
2022-12-09,16.3,16.39,16.14,16.15,16.0316127062,10018197,0.0000,1.0
2022-12-08,16.19,16.355,16.16,16.29,16.1705864386,9297638,0.0000,1.0
2022-12-07,16.13,16.13,15.885,16.06,15.9422724496,14176655,0.0000,1.0
2022-12-06,16.23,16.32,16.12,16.27,16.1507330483,14153488,0.0000,1.0
2022-12-05,16.59,16.65,16.12,16.21,16.0911728772,12746467,0.0000,1.0
2022-12-02,16.62,16.835,16.53,16.69,16.5676542456,13167115,0.0000,1.0
2022-12-01,16.39,16.93,16.24,16.82,16.6967012828,17179439,0.0000,1.0
2022-11-30,15.76,16.86,15.55,16.78,16.6569945021,35362281,0.0000,1.0
2022-11-29,15.62,15.7,15.45,15.46,15.3466707392,14778686,0.0000,1.0
2022-11-28,15.7,15.76,15.495,15.55,15.4360109957,13433493,0.0000,1.0
2022-11-25,15.8,15.99,15.73,15.83,15.7139584606,5567625,0.0000,1.0
2022-11-23,15.61,15.84,15.57,15.8,15.6841783751,11307233,0.0000,1.0
2022-11-22,15.57,15.7555,15.465,15.63,15.5154245571,16074784,0.0000,1.0
2022-11-21,15.59,15.62,15.42,15.55,15.4360109957,14910884,0.0000,1.0
2022-11-18,15.64,15.8,15.5,15.77,15.6543982896,14069040,0.0000,1.0
2022-11-17,15.01,15.55,14.94,15.54,15.4260843005,14944812,0.0000,1.0
2022-11-16,15.42,15.51,15.12,15.23,15.1183567502,15051128,0.0000,1.0
2022-11-15,15.53,15.64,15.33,15.51,15.396304215,14101164,0.0000,1.0
2022-11-14,15.19,15.6,15.13,15.32,15.2076970067,11924875,0.0000,1.0
2022-11-11,14.97,15.34,14.9,15.29,15.1779169212,13755954,0.0000,1.0
2022-11-10,14.69,14.88,14.535,14.87,14.7609957239,13869858,0.0000,1.0
2022-11-09,14.28,14.4,14.13,14.15,14.0462736714,11909159,0.0000,1.0
2022-11-08,14.56,14.655,14.305,14.42,14.3142944411,11080913,0.0000,1.0
2022-11-07,14.25,14.49,14.18,14.43,14.3242211362,11777006,0.0000,1.0
2022-11-04,14.1,14.31,13.935,14.25,14.1455406231,12930116,0.0000,1.0
2022-11-03,13.8,13.88,13.57,13.8,13.6988393403,11064068,0.0000,1.0
2022-11-02,14.29,14.45,14.0,14.0,13.8973732437,14840864,0.0000,1.0
2022-11-01,14.4,14.45,14.24,14.36,14.25473427,15357775,0.0000,1.0
2022-10-31,14.29,14.39,14.19,14.27,14.1653940134,13517027,0.0000,1.0
2022-10-28,14.16,14.47,14.16,14.39,14.2845143555,12289195,0.0000,1.0
2022-10-27,14.07,14.25,14.03,14.07,13.96686011,15153051,0.0000,1.0
