timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-12-21,26.78,27.0,26.65,26.69,26.69,4856386,0.0000,1.0
2022-12-20,26.5,26.805,26.36,26.61,26.61,5336241,0.0000,1.0
2022-12-19,26.76,26.94,26.28,26.56,26.56,5210303,0.0000,1.0
2022-12-16,26.63,26.88,26.41,26.72,26.72,17947150,0.0000,1.0
2022-12-15,27.71,27.87,26.7,26.84,26.84,10422314,0.0000,1.0
2022-12-14,28.59,29.05,28.12,28.36,28.36,6799441,0.0000,1.0
2022-12-13,29.52,29.73,28.71,28.87,28.87,7512879,0.2625,1.0
2022-12-12,28.18,29.04,28.0686,29.02,28.7585136875,7439223,0.0000,1.0
2022-12-09,28.39,28.73,28.2,28.21,27.9558122372,5431833,0.0000,1.0
2022-12-08,28.01,28.805,27.91,28.48,28.2233793873,6992998,0.0000,1.0
2022-12-07,28.0,28.25,27.625,27.83,27.5792362482,7108406,0.0000,1.0
2022-12-06,29.17,29.255,28.125,28.31,28.0549111817,6394096,0.0000,1.0
2022-12-05,29.41,29.62,29.13,29.21,28.946801682,4936365,0.0000,1.0
2022-12-02,29.44,29.8,29.25,29.64,29.3729271432,5259542,0.0000,1.0
2022-12-01,30.11,30.23,29.78,29.86,29.5909448211,5757364,0.0000,1.0
2022-11-30,29.0,30.06,28.72,30.04,29.7693229211,10286941,0.0000,1.0
2022-11-29,29.35,29.61,28.83,28.88,28.6197751652,7753046,0.0000,1.0
2022-11-28,29.75,29.79,29.12,29.21,28.946801682,6677042,0.0000,1.0
2022-11-25,29.8,30.74,29.71,30.15,29.8783317601,5959306,0.0000,1.0
2022-11-23,29.12,30.17,28.31,29.91,29.6404942933,17741296,0.0000,1.0
2022-11-22,29.23,29.42,28.64,29.38,29.1152698876,15114894,0.0000,1.0
2022-11-21,29.16,29.3,28.68,29.16,28.8972522097,10697094,0.0000,1.0
2022-11-18,29.05,29.615,28.89,29.48,29.2143688321,9218085,0.0000,1.0
2022-11-17,28.86,29.46,28.305,29.43,29.1648193598,9984446,0.0000,1.0
2022-11-16,30.2,30.27,28.985,29.29,29.0260808376,9147489,0.0000,1.0
2022-11-15,30.9,31.085,30.34,30.56,30.2846374324,8492779,0.0000,1.0
2022-11-14,30.17,30.91,30.075,30.43,30.1558088046,8178913,0.0000,1.0
2022-11-11,29.32,30.685,29.29,30.55,30.274727538,11423283,0.0000,1.0
2022-11-10,28.95,29.3,28.625,29.3,29.035990732,11861608,0.0000,1.0
2022-11-09,28.5,28.655,27.72,27.8,27.5495065648,7574400,0.0000,1.0
2022-11-08,29.0,29.37,28.685,28.85,28.5900454819,8721352,0.0000,1.0
2022-11-07,28.35,28.92,28.265,28.75,28.4909465374,8825700,0.0000,1.0
2022-11-04,27.37,28.31,27.22,28.29,28.0350913928,13497814,0.0000,1.0
2022-11-03,26.7,26.91,26.2,26.66,26.4197785978,5423612,0.0000,1.0
2022-11-02,27.78,28.07,26.98,26.98,26.7368952201,5790063,0.0000,1.0
2022-11-01,27.94,28.07,27.37,27.85,27.5990560371,5113049,0.0000,1.0
2022-10-31,27.79,27.89,27.53,27.62,27.3711284648,5403143,0.0000,1.0
2022-10-28,27.28,28.12,27.28,28.05,27.797253926,8033311,0.0000,1.0
2022-10-27,27.76,27.91,27.11,27.22,26.9747326869,6395794,0.0000,1.0
2022-10-26,27.13,28.11,27.04,27.48,27.2323899425,6936476,0.0000,1.0
2022-10-25,26.91,27.595,26.845,27.58,27.331488887,7136802,0.0000,1.0
2022-10-24,27.0,27.25,26.735,27.06,26.8161743757,5640305,0.0000,1.0
2022-10-21,25.72,26.835,25.57,26.79,26.5486072256,7894310,0.0000,1.0
2022-10-20,25.63,26.34,25.485,25.57,25.339600103,5830744,0.0000,1.0
2022-10-19,25.26,25.75,25.253,25.49,25.2603209474,6055084,0.0000,1.0
2022-10-18,26.33,26.5,25.205,25.55,25.3197803141,7501557,0.0000,1.0
2022-10-17,25.87,26.3,25.4018,25.69,25.4585188364,8841600,0.0000,1.0
2022-10-14,26.11,26.35,25.395,25.44,25.2107714752,10700725,0.0000,1.0
2022-10-13,24.19,26.325,24.075,26.02,25.7855453531,11791948,0.0000,1.0
2022-10-12,24.86,25.02,24.62,24.69,24.4675293916,7896922,0.0000,1.0
2022-10-11,25.01,25.325,24.6034,24.78,24.5567184416,7287361,0.0000,1.0
2022-10-10,25.28,25.455,24.6,24.99,24.764826225,6557635,0.0000,1.0
2022-10-07,25.77,25.85,24.9,25.04,24.8143756972,10318157,0.0000,1.0
2022-10-06,26.58,27.04,26.45,26.48,26.2414004977,8415944,0.0000,1.0
2022-10-05,26.17,26.95,26.12,26.78,26.5386973312,7457092,0.0000,1.0
2022-10-04,26.38,26.86,26.295,26.64,26.3999588089,8845030,0.0000,1.0
2022-10-03,25.34,26.11,25.085,25.89,25.6567167253,8923017,0.0000,1.0
2022-09-30,25.01,25.675,24.87,24.92,24.6954569639,8858514,0.0000,1.0
2022-09-29,25.16,25.16,24.735,25.04,24.8143756972,8265568,0.0000,1.0
2022-09-28,24.89,25.69,24.86,25.61,25.3792396808,7576144,0.0000,1.0
2022-09-27,25.38,25.57,24.835,24.98,24.7549163306,5951262,0.0000,1.0
2022-09-26,25.07,25.5,24.81,24.96,24.7350965417,8872742,0.0000,1.0
2022-09-23,25.29,25.47,24.92,25.35,25.1215824251,8647127,0.0000,1.0
2022-09-22,25.96,26.225,25.69,25.71,25.4783386252,8758946,0.0000,1.0
2022-09-21,26.62,26.94,26.0,26.0,25.7657255642,8884141,0.0000,1.0
2022-09-20,26.53,26.62,26.09,26.45,26.2116708144,9853591,0.0000,1.0
2022-09-19,26.98,27.315,26.59,26.95,26.7071655368,9768726,0.0000,1.0
2022-09-16,26.75,27.37,26.52,27.23,26.9846425813,39538455,0.0000,1.0
2022-09-15,26.87,27.41,26.62,26.94,26.6972556423,11525212,0.0000,1.0
2022-09-14,27.07,27.31,26.73,27.04,26.7963545868,9079402,0.0000,1.0
2022-09-13,27.39,27.7,26.81,26.96,26.7170754312,10378073,0.2500,1.0
2022-09-12,28.45,28.9,28.405,28.51,27.9935251946,9386071,0.0000,1.0
2022-09-09,27.72,28.36,27.7,28.26,27.7480540862,8967187,0.0000,1.0
