timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-12-21,176.73,178.89,176.06,178.29,178.29,377018,0.0000,1.0
2022-12-20,174.68,176.8,173.815,176.47,176.47,405144,0.0000,1.0
2022-12-19,174.7,178.755,174.7,175.37,175.37,552208,0.0000,1.0
2022-12-16,176.47,179.14,175.7,177.55,177.55,1442902,0.0000,1.0
2022-12-15,179.36,180.98,176.74,177.93,177.93,542017,0.0000,1.0
2022-12-14,183.42,185.23,179.25,180.59,180.59,520015,0.0000,1.0
2022-12-13,187.06,187.225,180.74,183.08,183.08,480168,0.0000,1.0
2022-12-12,182.03,183.26,181.22,182.89,182.89,371706,0.0000,1.0
2022-12-09,184.41,184.945,181.25,181.54,181.54,580310,0.0000,1.0
2022-12-08,184.69,185.58,183.1,184.92,184.92,363016,0.0000,1.0
2022-12-07,183.96,186.055,183.0,184.78,184.78,377576,0.0000,1.0
2022-12-06,188.5,188.61,182.69,183.49,183.49,445907,0.0000,1.0
2022-12-05,190.73,190.855,188.49,188.93,188.93,387959,0.0000,1.0
2022-12-02,188.5,192.33,188.29,191.6,191.6,489981,0.0000,1.0
2022-12-01,189.75,191.61,188.27,190.73,190.73,531757,0.0000,1.0
2022-11-30,185.33,190.36,185.16,189.35,189.35,837628,0.4900,1.0
2022-11-29,188.71,189.64,183.875,185.9,185.420169617,481568,0.0000,1.0
2022-11-28,190.07,192.35,188.31,188.8,188.312684366,402455,0.0000,1.0
2022-11-25,190.31,191.76,190.29,191.42,190.925921829,196633,0.0000,1.0
2022-11-23,189.34,190.52,187.85,190.06,189.569432153,317505,0.0000,1.0
2022-11-22,189.02,190.655,186.54,188.94,188.452323009,508640,0.0000,1.0
2022-11-21,187.65,190.57,187.315,188.81,188.322658555,792902,0.0000,1.0
2022-11-18,185.06,187.75,184.71,186.96,186.477433628,730224,0.0000,1.0
2022-11-17,179.04,183.42,179.04,183.1,182.627396755,641487,0.0000,1.0
2022-11-16,182.08,184.03,180.51,180.64,180.173746313,500897,0.0000,1.0
2022-11-15,178.79,181.3,176.59,181.2,180.732300885,575863,0.0000,1.0
2022-11-14,175.26,180.37,173.59,177.43,176.972031711,573869,0.0000,1.0
2022-11-11,175.28,177.8633,172.65,174.49,174.039620206,713189,0.0000,1.0
2022-11-10,177.65,181.25,173.96,175.75,175.296367994,1009830,0.0000,1.0
2022-11-09,169.3,177.735,167.51,172.52,172.074705015,1132679,0.0000,1.0
2022-11-08,182.39,184.145,179.16,180.94,180.472971976,721755,0.0000,1.0
2022-11-07,181.24,182.62,180.19,181.85,181.380623156,645464,0.0000,1.0
2022-11-04,180.99,182.01,177.27,180.46,179.994210914,626491,0.0000,1.0
2022-11-03,188.98,189.55,179.27,179.62,179.156379056,763570,0.0000,1.0
2022-11-02,199.76,199.96,190.24,190.64,190.147935103,890086,0.0000,1.0
2022-11-01,199.65,201.7,199.27,201.24,200.720575221,435448,0.0000,1.0
2022-10-31,200.6,202.175,198.66,199.06,198.546202065,483007,0.0000,1.0
2022-10-28,197.34,202.66,197.32,201.73,201.209310472,408097,0.0000,1.0
2022-10-27,193.46,197.27,192.05,196.34,195.833222714,669325,0.0000,1.0
2022-10-26,193.09,194.64,191.28,193.25,192.751198378,457877,0.0000,1.0
2022-10-25,191.99,193.05,189.7644,192.67,192.172695428,366469,0.0000,1.0
2022-10-24,188.39,189.62,186.67,189.14,188.651806785,376241,0.0000,1.0
2022-10-21,185.27,187.77,184.445,187.32,186.836504425,321083,0.0000,1.0
2022-10-20,187.69,188.06,184.105,185.46,184.98130531,320960,0.0000,1.0
2022-10-19,187.7,189.27,185.905,187.11,186.62704646,297529,0.0000,1.0
2022-10-18,189.41,189.98,187.32,188.95,188.462297198,372901,0.0000,1.0
2022-10-17,185.49,187.2461,184.6,186.8,186.317846608,521881,0.0000,1.0
2022-10-14,187.43,187.43,182.17,183.43,182.956544985,541128,0.0000,1.0
2022-10-13,178.87,187.84,177.291,185.23,184.751898968,718708,0.0000,1.0
2022-10-12,183.98,184.18,181.35,181.39,180.921810472,484948,0.0000,1.0
2022-10-11,185.02,187.43,183.81,183.99,183.515099558,426752,0.0000,1.0
2022-10-10,186.0,186.36,183.12,185.43,184.951382743,256404,0.0000,1.0
2022-10-07,185.18,186.01,183.505,185.66,185.180789086,353924,0.0000,1.0
2022-10-06,187.29,188.12,185.675,186.02,185.539859882,453884,0.0000,1.0
2022-10-05,187.95,189.75,186.98,188.06,187.574594395,404556,0.0000,1.0
2022-10-04,188.13,189.71,187.89,188.58,188.093252212,533784,0.0000,1.0
2022-10-03,182.95,187.42,182.4,186.75,186.267975664,441962,0.0000,1.0
2022-09-30,183.12,185.88,181.71,182.27,181.799539086,481148,0.0000,1.0
2022-09-29,184.0,184.45,182.28,183.04,182.567551622,311113,0.0000,1.0
2022-09-28,183.53,185.47,182.06,184.75,184.273137906,414865,0.0000,1.0
2022-09-27,184.75,186.31,181.91,182.76,182.288274336,316214,0.0000,1.0
2022-09-26,184.92,185.77,183.11,183.42,182.946570796,344743,0.0000,1.0
2022-09-23,185.56,186.01,183.24,184.98,184.502544248,410178,0.0000,1.0
2022-09-22,187.13,188.14,186.34,186.76,186.277949853,258031,0.0000,1.0
2022-09-21,190.41,192.45,188.19,188.26,187.774078171,287222,0.0000,1.0
2022-09-20,192.51,192.85,188.12,189.56,189.070722714,337237,0.0000,1.0
2022-09-19,190.82,193.4,189.65,193.29,192.791095133,409357,0.0000,1.0
2022-09-16,192.0,193.16,190.58,191.56,191.065560472,678028,0.0000,1.0
2022-09-15,193.05,194.75,191.97,192.86,192.362205015,411936,0.0000,1.0
