timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-12-21,441.32,450.81,440.08,447.87,447.87,943144,0.0000,1.0
2022-12-20,433.4,441.09,432.6509,437.36,437.36,909740,0.0000,1.0
2022-12-19,442.33,442.845,432.1,438.69,438.69,1064455,0.0000,1.0
2022-12-16,442.89,447.985,438.13,443.92,443.92,1771523,0.0000,1.0
2022-12-15,456.02,459.7302,444.03,446.06,446.06,1553254,0.0000,1.0
2022-12-14,474.85,481.88,464.2323,468.24,468.24,1210842,0.0000,1.0
2022-12-13,485.54,490.65,470.04,475.94,475.94,1536908,1.7250,1.0
2022-12-12,460.03,464.44,448.95,464.3,462.623265259,1213828,0.0000,1.0
2022-12-09,449.49,457.64,444.4201,450.2,448.574184837,954211,0.0000,1.0
2022-12-08,447.87,457.52,444.06,455.0,453.356850512,1236996,0.0000,1.0
2022-12-07,441.19,452.8,439.62,444.28,442.675563837,1113038,0.0000,1.0
2022-12-06,452.87,454.1,438.975,443.09,441.489861304,925312,0.0000,1.0
2022-12-05,455.74,462.69,448.63,452.6,450.965517675,1088723,0.0000,1.0
2022-12-02,450.735,460.23,450.4,457.67,456.017208295,1102371,0.0000,1.0
2022-12-01,479.32,479.32,456.74,463.14,461.467454387,1377944,0.0000,1.0
2022-11-30,447.88,472.39,441.28,472.38,470.674085813,2232834,0.0000,1.0
2022-11-29,447.04,450.3,440.08,442.05,440.453617075,903074,0.0000,1.0
2022-11-28,446.2,451.34,441.47,443.23,441.62935572,1182588,0.0000,1.0
2022-11-25,456.34,458.94,453.25,453.25,451.613170318,378949,0.0000,1.0
2022-11-23,457.09,468.74,456.01,461.4,459.73373808,823667,0.0000,1.0
2022-11-22,452.41,456.39,444.18,455.62,453.974611496,1411779,0.0000,1.0
2022-11-21,451.06,453.5,444.41,450.15,448.524365403,935024,0.0000,1.0
2022-11-18,470.71,471.26,448.635,456.7,455.050711273,1736718,0.0000,1.0
2022-11-17,446.32,464.65,445.0,461.16,459.494604796,1537911,0.0000,1.0
2022-11-16,458.97,464.64,452.12,455.38,453.735478212,3007939,0.0000,1.0
2022-11-15,501.08,502.7,482.15,490.74,488.967782023,2220614,0.0000,1.0
2022-11-14,495.65,500.37,479.87,480.7,478.964039651,2347233,0.0000,1.0
2022-11-11,481.965,504.55,480.16,500.82,499.011379942,2608031,0.0000,1.0
2022-11-10,459.63,485.78,455.04,485.41,483.657030346,3719089,0.0000,1.0
2022-11-09,435.87,443.2,430.13,432.74,431.177238441,1704010,0.0000,1.0
2022-11-08,443.0,448.95,430.79,444.86,443.253469272,2225977,0.0000,1.0
2022-11-07,423.5,435.61,419.24,434.97,433.399185203,1884396,0.0000,1.0
2022-11-04,409.85,420.1,404.2518,419.54,418.024907833,2422681,0.0000,1.0
2022-11-03,388.7,399.47,384.72,393.42,391.999235447,1656529,0.0000,1.0
2022-11-02,411.56,421.05,394.77,395.52,394.091651681,2173885,0.0000,1.0
2022-11-01,413.0,416.965,406.47,412.71,411.219573132,1568161,0.0000,1.0
2022-10-31,404.87,410.5,399.19,404.78,403.31821088,1877176,0.0000,1.0
2022-10-28,390.505,406.95,389.52,405.59,404.125285713,1815478,0.0000,1.0
2022-10-27,388.96,397.96,381.4896,389.11,387.704800226,2288492,0.0000,1.0
2022-10-26,374.25,393.85,373.78,385.6,384.207475951,2418401,0.0000,1.0
2022-10-25,375.02,386.51,375.02,379.86,378.488204913,1749920,0.0000,1.0
2022-10-24,370.43,377.17,364.53,373.96,372.609511687,2011735,0.0000,1.0
2022-10-21,354.97,372.855,354.97,369.29,367.95637654,2766538,0.0000,1.0
2022-10-20,340.615,366.92,334.035,355.87,354.584840422,5875091,0.0000,1.0
2022-10-19,322.41,332.19,318.67,330.08,328.887976301,2691508,0.0000,1.0
2022-10-18,327.06,331.835,315.7,322.06,320.896939068,2507695,0.0000,1.0
2022-10-17,327.01,329.19,312.71,315.42,314.280918217,5143888,0.0000,1.0
2022-10-14,340.61,340.99,314.3,314.95,313.812615536,3040138,0.0000,1.0
2022-10-13,302.47,344.72,299.592,340.61,339.379949128,4529383,0.0000,1.0
2022-10-12,328.76,330.92,323.16,323.98,322.810005338,3666298,0.0000,1.0
2022-10-11,345.3,350.24,322.31,327.05,325.868918594,5313244,0.0000,1.0
2022-10-10,369.98,370.305,340.42,350.72,349.453438707,3950617,0.0000,1.0
2022-10-07,386.67,388.66,371.775,374.84,373.486333728,2079747,0.0000,1.0
2022-10-06,398.61,407.44,395.21,397.6,396.16414014,1358838,0.0000,1.0
2022-10-05,391.94,404.71,385.01,399.91,398.465797997,1406994,0.0000,1.0
2022-10-04,402.78,408.5,397.51,400.63,399.183197848,2056707,0.0000,1.0
2022-10-03,372.3,396.76,370.72,389.68,388.272741775,2530036,0.0000,1.0
2022-09-30,358.25,373.52,358.0,366.0,364.678257775,1909156,0.0000,1.0
2022-09-29,375.16,375.43,364.23,370.55,369.21182628,1543876,0.0000,1.0
2022-09-28,373.42,383.61,372.255,381.65,380.271740655,1084349,0.0000,1.0
2022-09-27,379.86,381.65,369.34,376.7,375.339616677,1183127,0.0000,1.0
2022-09-26,380.68,385.29,371.12,371.44,370.098612207,1125130,0.0000,1.0
2022-09-23,382.43,383.89,373.575,380.56,379.185676991,1462340,0.0000,1.0
2022-09-22,394.45,396.68,385.815,386.83,385.43303403,1510338,0.0000,1.0
2022-09-21,404.9,418.375,398.44,398.65,397.210348257,1062063,0.0000,1.0
2022-09-20,403.45,405.3,399.44,403.4,401.943194498,892675,0.0000,1.0
2022-09-19,403.22,413.87,403.22,409.22,407.74217663,936448,0.0000,1.0
2022-09-16,408.26,413.87,403.2,409.22,407.74217663,1861335,0.0000,1.0
2022-09-15,418.66,422.34,407.71,413.44,411.94693687,1198685,0.0000,1.0
2022-09-14,424.01,426.66,414.62,421.76,420.236890708,1061614,0.0000,1.0
2022-09-13,429.0,432.16,418.2,420.48,418.961513194,1894207,1.7250,1.0
2022-09-12,447.29,453.48,442.1,447.3,443.863726985,998965,0.0000,1.0
2022-09-09,447.4,452.86,445.41,450.78,447.316992735,1293417,0.0000,1.0
2022-09-08,425.34,444.6804,424.01,439.16,435.786260547,1420612,0.0000,1.0
2022-09-07,429.0,436.93,422.04,432.0,428.681265499,1201306,0.0000,1.0
2022-09-06,429.38,433.75,421.87,426.76,423.481520519,1159697,0.0000,1.0
2022-09-02,436.43,443.42,427.445,430.21,426.905016737,1368042,0.0000,1.0
2022-09-01,424.49,433.09,418.3806,432.04,428.720958209,1883118,0.0000,1.0
2022-08-31,442.34,443.2299,432.8,437.91,434.545863367,1232416,0.0000,1.0
2022-08-30,449.01,451.21,434.825,442.68,439.279219007,1418816,0.0000,1.0
2022-08-29,448.26,455.38,443.74,444.54,441.124930011,993272,0.0000,1.0
2022-08-26,478.19,478.505,451.7,453.31,449.827556628,1586277,0.0000,1.0
2022-08-25,463.63,478.46,463.63,478.19,474.516422104,949012,0.0000,1.0
2022-08-24,463.92,465.115,457.04,463.01,459.453038747,685076,0.0000,1.0
2022-08-23,458.46,469.59,458.26,463.97,460.405663781,810529,0.0000,1.0
2022-08-22,465.51,468.77,455.82,457.57,454.054830218,1465254,0.0000,1.0
2022-08-19,492.67,494.0,476.16,476.79,473.127177262,2010446,0.0000,1.0
2022-08-18,497.76,509.0,492.15,503.15,499.284673,1276483,0.0000,1.0
2022-08-17,502.23,504.17,485.83,497.56,493.737616809,1402139,0.0000,1.0
2022-08-16,516.3,519.8738,507.4,510.36,506.439283935,1230151,0.0000,1.0
2022-08-15,516.28,522.5999,509.18,517.29,513.316045903,965938,0.0000,1.0
