timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-12-21,256.92,260.03,256.4,257.5,257.5,432734,0.0000,1.0
2022-12-20,255.42,256.75,253.85,255.82,255.82,419197,0.0000,1.0
2022-12-19,253.24,255.96,252.5594,254.59,254.59,644860,0.0000,1.0
2022-12-16,253.77,255.07,252.145,252.44,252.44,1191041,0.0000,1.0
2022-12-15,263.23,263.635,256.11,257.14,257.14,700243,0.0000,1.0
2022-12-14,267.21,273.07,263.96,265.83,265.83,970660,0.8800,1.0
2022-12-13,275.0,275.0,265.2,267.15,266.268548236,927098,0.0000,1.0
2022-12-12,267.26,271.0,265.34,270.84,269.946373214,441050,0.0000,1.0
2022-12-09,269.5,271.27,265.465,265.57,264.693761389,465382,0.0000,1.0
2022-12-08,268.76,270.095,266.92,269.79,268.899837651,450400,0.0000,1.0
2022-12-07,266.27,269.3,263.69,266.79,265.909736043,614524,0.0000,1.0
2022-12-06,268.85,269.99,263.28,266.17,265.29178171,673416,0.0000,1.0
2022-12-05,269.78,272.25,267.185,268.23,267.344984815,527412,0.0000,1.0
2022-12-02,268.76,274.11,268.76,272.7,271.800236212,602546,0.0000,1.0
2022-12-01,273.41,275.16,271.29,271.78,270.883271718,747982,0.0000,1.0
2022-11-30,263.68,272.58,263.68,272.2,271.301885944,1349525,0.0000,1.0
2022-11-29,264.83,266.36,263.54,264.46,263.587423794,706116,0.0000,1.0
2022-11-28,266.9,268.53,265.06,265.98,265.102408609,897721,0.0000,1.0
2022-11-25,267.29,268.9094,266.15,268.43,267.544324922,212115,0.0000,1.0
2022-11-23,265.48,267.44,265.12,266.0,265.122342619,447101,0.0000,1.0
2022-11-22,263.86,265.55,262.8223,265.06,264.185444115,620083,0.0000,1.0
2022-11-21,262.64,265.34,261.82,262.38,261.514286678,515303,0.0000,1.0
2022-11-18,258.12,263.99,257.0,262.94,262.072438979,931682,0.0000,1.0
2022-11-17,254.63,256.82,252.7232,255.51,254.666953995,553089,0.0000,1.0
2022-11-16,251.1,256.44,250.935,255.76,254.916129129,599831,0.0000,1.0
2022-11-15,253.13,253.3,248.75,250.41,249.583781261,704383,0.0000,1.0
2022-11-14,250.12,255.6,250.12,250.95,250.12199955,686193,0.0000,1.0
2022-11-11,260.0,260.02,245.76,249.53,248.706684789,2209513,0.0000,1.0
2022-11-10,260.06,261.45,257.28,259.61,258.753426193,907116,0.0000,1.0
2022-11-09,255.86,255.98,252.65,253.62,252.783189982,765907,0.0000,1.0
2022-11-08,255.87,260.45,253.4,256.8,255.952697687,775981,0.0000,1.0
2022-11-07,255.66,257.54,253.015,255.53,254.686888006,818278,0.0000,1.0
2022-11-04,251.94,258.5282,244.03,254.87,254.029065652,1865053,0.0000,1.0
2022-11-03,237.81,239.56,235.5,238.18,237.394133703,920074,0.0000,1.0
2022-11-02,242.46,247.27,239.9,239.9,239.108458625,677496,0.0000,1.0
2022-11-01,250.76,250.98,242.54,242.89,242.088593229,968667,0.0000,1.0
2022-10-31,248.87,251.87,245.62,249.71,248.886090885,1125004,0.0000,1.0
2022-10-28,243.63,250.45,243.0,250.12,249.294738105,990804,0.0000,1.0
2022-10-27,242.44,244.58,241.51,242.18,241.380935848,854469,0.0000,1.0
2022-10-26,240.04,241.39,238.42,240.3,239.50713884,794650,0.0000,1.0
2022-10-25,234.9,240.3,234.9,239.68,238.889184508,683591,0.0000,1.0
2022-10-24,228.67,235.67,228.67,235.05,234.274461025,735280,0.0000,1.0
2022-10-21,221.32,227.08,219.43,226.38,225.633067377,728802,0.0000,1.0
2022-10-20,223.07,224.46,219.79,221.17,220.440257583,653819,0.0000,1.0
2022-10-19,223.82,225.295,222.07,223.85,223.11141502,471898,0.0000,1.0
2022-10-18,225.47,227.5,222.55,225.3,224.556630797,564548,0.0000,1.0
2022-10-17,217.31,222.2,217.31,220.74,220.011676353,832673,0.0000,1.0
2022-10-14,225.89,225.89,212.76,213.28,212.576290353,1105883,0.0000,1.0
2022-10-13,219.9,225.92,217.01,225.37,224.626399835,783329,0.0000,1.0
2022-10-12,225.45,226.275,223.29,223.33,222.593130741,709085,0.0000,1.0
2022-10-11,225.97,226.91,222.555,224.25,223.510095235,666176,0.0000,1.0
2022-10-10,230.73,230.73,226.4501,227.02,226.27095572,402775,0.0000,1.0
2022-10-07,232.13,232.13,228.1601,229.85,229.091618237,554070,0.0000,1.0
2022-10-06,236.67,238.14,233.55,234.2,233.427265569,459431,0.0000,1.0
2022-10-05,232.74,238.19,232.52,236.86,236.078488996,476130,0.0000,1.0
2022-10-04,232.69,236.27,232.11,235.42,234.643240223,607268,0.0000,1.0
2022-10-03,227.37,230.52,225.93,228.97,228.214521765,877496,0.0000,1.0
2022-09-30,225.9,228.62,223.68,223.97,223.231019084,1074857,0.0000,1.0
2022-09-29,227.96,228.05,223.295,225.3,224.556630797,656836,0.0000,1.0
2022-09-28,228.2,230.51,226.2,229.62,228.862377114,712596,0.0000,1.0
2022-09-27,228.22,228.99,223.67,225.66,224.915442991,674067,0.0000,1.0
2022-09-26,229.23,230.04,224.47,225.81,225.064948071,665164,0.0000,1.0
2022-09-23,229.81,230.3,225.67,228.76,228.005214653,692215,0.0000,1.0
2022-09-22,236.38,237.07,231.97,232.02,231.254458401,730374,0.0000,1.0
2022-09-21,240.12,243.84,237.78,237.86,237.075189532,656350,0.0000,1.0
2022-09-20,239.93,240.32,237.74,239.51,238.719745416,570174,0.0000,1.0
2022-09-19,236.84,240.905,236.385,240.57,239.776247985,697819,0.0000,1.0
2022-09-16,237.3,239.54,235.45,239.2,238.41076825,1250512,0.0000,1.0
2022-09-15,241.57,241.59,236.94,238.16,237.374199693,898910,0.0000,1.0
2022-09-14,243.53,245.67,240.3,242.31,241.510506918,993548,0.7900,1.0
2022-09-13,249.34,250.85,244.925,246.08,244.471022387,735995,0.0000,1.0
2022-09-12,252.0,253.68,251.34,253.51,251.852441829,724206,0.0000,1.0
2022-09-09,251.07,251.44,248.69,250.22,248.583953274,640814,0.0000,1.0
2022-09-08,248.49,250.65,247.7,250.36,248.723037893,516940,0.0000,1.0
2022-09-07,244.19,250.46,243.98,249.55,247.918334024,573451,0.0000,1.0
2022-09-06,243.78,244.56,240.31,243.57,241.977433854,799169,0.0000,1.0
2022-09-02,246.25,248.25,242.63,243.77,242.176126167,594014,0.0000,1.0
2022-09-01,243.19,244.25,239.725,244.17,242.573510794,664327,0.0000,1.0
2022-08-31,246.88,246.88,243.06,243.41,241.818480003,789869,0.0000,1.0
2022-08-30,248.55,248.905,244.07,245.13,243.527233898,514944,0.0000,1.0
2022-08-29,245.6,249.18,244.86,247.07,245.454549338,456776,0.0000,1.0
2022-08-26,254.36,255.35,248.29,248.32,246.696376297,802449,0.0000,1.0
2022-08-25,249.45,254.52,248.77,254.38,252.716753392,699072,0.0000,1.0
2022-08-24,247.0,249.97,246.3967,248.63,247.004349383,706512,0.0000,1.0
2022-08-23,246.62,248.64,245.515,246.17,244.560433928,369094,0.0000,1.0
2022-08-22,249.78,250.815,248.17,248.66,247.03415323,444930,0.0000,1.0
2022-08-19,255.86,255.86,252.995,253.25,251.594141822,612462,0.0000,1.0
2022-08-18,256.25,258.49,255.11,256.24,254.564591907,485923,0.0000,1.0
2022-08-17,253.99,256.285,252.87,255.42,253.749953422,457152,0.0000,1.0
2022-08-16,254.88,257.8,254.37,256.59,254.912303455,397967,0.0000,1.0
2022-08-15,254.9,256.69,253.9,255.37,253.700280344,470742,0.0000,1.0
2022-08-12,253.79,255.98,252.37,255.97,254.296357284,897399,0.0000,1.0
2022-08-11,253.17,254.365,252.15,252.28,250.630484102,812159,0.0000,1.0
2022-08-10,252.81,254.94,250.14,253.0,251.34577643,759921,0.0000,1.0
2022-08-09,247.47,251.05,246.14,249.25,247.620295554,882561,0.0000,1.0
2022-08-08,249.05,249.96,243.905,248.15,246.527487831,1019995,0.0000,1.0
2022-08-05,243.0,251.46,238.54,250.21,248.574018658,1706631,0.0000,1.0
2022-08-04,238.38,240.57,236.9101,239.69,238.122802974,944451,0.0000,1.0
2022-08-03,237.85,240.03,236.705,238.45,236.890910631,618577,0.0000,1.0
