timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-12-21,161.14,166.27,161.02,165.01,165.01,32472202,0.0000,1.0
2022-12-20,160.64,163.1,158.52,160.85,160.85,40325979,0.0000,1.0
2022-12-19,165.72,166.09,161.45,162.54,162.54,35403877,0.0000,1.0
2022-12-16,168.642,170.41,164.1,165.71,165.71,47823193,0.0000,1.0
2022-12-15,171.46,173.2,167.0,169.52,169.52,47854210,0.0000,1.0
2022-12-14,179.87,182.52,174.2,176.74,176.74,49688810,0.0000,1.0
2022-12-13,185.31,187.9,177.11,180.72,180.72,65658876,0.0000,1.0
2022-12-12,170.37,175.38,167.97,175.35,175.35,45732780,0.0000,1.0
2022-12-09,171.6,175.83,169.75,170.01,170.01,46533819,0.0000,1.0
2022-12-08,162.73,171.79,159.59,171.69,171.69,51545554,0.0000,1.0
2022-12-07,157.72,161.86,156.67,161.2,161.2,37238758,0.0000,1.0
2022-12-06,165.3,165.73,158.19,159.87,159.87,35269427,0.0000,1.0
2022-12-05,166.79,169.95,164.7201,166.1,166.1,35225517,0.0000,1.0
2022-12-02,166.59,169.3257,164.45,168.76,168.76,37138858,0.0000,1.0
2022-12-01,169.99,172.65,166.35,171.35,171.35,47097657,0.0000,1.0
2022-11-30,156.97,169.3,155.97,169.23,169.23,56529822,0.0400,1.0
2022-11-29,158.27,159.32,155.2,156.39,156.353043658,29838449,0.0000,1.0
2022-11-28,160.26,163.57,157.25,158.27,158.232599397,30415201,0.0000,1.0
2022-11-25,163.18,164.87,161.72,162.7,162.661552549,16793430,0.0000,1.0
2022-11-23,160.98,165.27,160.4801,165.19,165.15096414,42724093,0.0000,1.0
2022-11-22,153.28,160.5757,151.216,160.38,160.342100786,47286607,0.0000,1.0
2022-11-21,151.47,154.77,150.8,153.17,153.133804573,40473931,0.0000,1.0
2022-11-18,159.66,160.02,151.2001,154.09,154.053587168,49207165,0.0000,1.0
2022-11-17,157.15,162.66,155.35,156.77,156.732953861,71089356,0.0000,1.0
2022-11-16,161.615,163.62,158.73,159.1,159.062403261,64954684,0.0000,1.0
2022-11-15,167.215,169.98,163.82,166.66,166.620616766,54587550,0.0000,1.0
2022-11-14,162.18,165.4,159.22,162.95,162.911493472,52785245,0.0000,1.0
2022-11-11,158.075,163.89,154.82,163.27,163.231417853,65548747,0.0000,1.0
2022-11-10,148.0,157.73,145.47,157.5,157.462781355,70081925,0.0000,1.0
2022-11-09,141.615,142.11,137.5901,137.76,137.727446092,45441366,0.0000,1.0
2022-11-08,148.01,148.9101,142.16,146.02,145.985494181,59529199,0.0000,1.0
2022-11-07,142.28,144.12,139.54,143.01,142.976205471,41006095,0.0000,1.0
2022-11-04,139.86,142.29,136.97,141.56,141.526548118,61257591,0.0000,1.0
2022-11-03,130.43,137.81,129.56,134.21,134.178284988,50006486,0.0000,1.0
2022-11-02,138.5,142.1,132.1124,132.19,132.158762332,67262784,0.0000,1.0
2022-11-01,138.11,139.25,135.19,135.43,135.397996692,43281690,0.0000,1.0
2022-10-31,137.78,138.38,132.97,134.97,134.938105394,48634099,0.0000,1.0
2022-10-28,131.04,138.5,130.61,138.34,138.307309033,52103993,0.0000,1.0
2022-10-27,136.3,138.38,131.22,131.76,131.728863945,58311308,0.0000,1.0
2022-10-26,128.69,133.88,127.08,128.96,128.92952561,53553329,0.0000,1.0
2022-10-25,126.935,133.0,126.64,132.61,132.578663083,50548233,0.0000,1.0
