timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-12-21,160.87,163.84,160.01,163.43,163.43,1737528,0.0000,1.0
2022-12-20,157.99,161.22,157.055,159.51,159.51,1101408,0.0000,1.0
2022-12-19,164.29,164.33,158.53,160.27,160.27,1418231,0.0000,1.0
2022-12-16,164.35,165.425,161.66,163.72,163.72,3696450,0.0000,1.0
2022-12-15,168.26,169.645,164.59,165.16,165.16,2570271,0.0000,1.0
2022-12-14,173.23,175.36,169.0,171.57,171.57,1968677,0.8450,1.0
2022-12-13,180.575,180.575,171.29,174.31,173.45571267,3081347,0.0000,1.0
2022-12-12,169.89,173.28,169.1006,173.07,172.221789867,2048360,0.0000,1.0
2022-12-09,169.71,172.87,168.395,169.72,168.888208103,1961974,0.0000,1.0
2022-12-08,164.65,171.87,163.53,171.47,170.629631413,2520290,0.0000,1.0
2022-12-07,161.45,164.305,160.0,163.95,163.146486675,1427249,0.0000,1.0
2022-12-06,166.66,167.8685,161.14,163.08,162.280750515,1903991,0.0000,1.0
2022-12-05,169.81,170.3,166.535,168.37,167.544824406,1208132,0.0000,1.0
2022-12-02,169.17,171.2,167.32,171.06,170.221640809,1619959,0.0000,1.0
2022-12-01,177.55,178.07,173.13,173.44,172.58997651,2083001,0.0000,1.0
2022-11-30,165.07,176.66,162.61,175.84,174.978214193,3654139,0.0000,1.0
2022-11-29,164.68,166.26,162.79,164.69,163.88285996,1347265,0.0000,1.0
2022-11-28,169.05,170.86,163.38,164.1,163.29575153,2758037,0.0000,1.0
2022-11-25,174.97,175.52,172.69,172.69,171.843652234,735363,0.0000,1.0
2022-11-23,174.09,179.03,173.275,175.2,174.341350811,1586522,0.0000,1.0
2022-11-22,169.75,173.43,168.0,173.41,172.560123539,1695549,0.0000,1.0
2022-11-21,170.44,171.275,168.12,168.85,168.022471943,1271227,0.0000,1.0
2022-11-18,172.82,172.83,169.22,171.94,171.097327959,1533725,0.0000,1.0
2022-11-17,162.56,170.4,162.56,170.09,169.256394745,1460548,0.0000,1.0
2022-11-16,171.54,172.855,165.48,166.88,166.062126845,2204373,0.0000,1.0
2022-11-15,175.22,176.66,171.89,174.81,173.953262187,2335636,0.0000,1.0
2022-11-14,168.04,172.655,168.04,169.01,168.181687788,1823402,0.0000,1.0
2022-11-11,166.52,171.0,163.54,169.94,169.10712989,2515251,0.0000,1.0
2022-11-10,163.98,165.81,161.67,165.47,164.659037207,4487685,0.0000,1.0
2022-11-09,159.94,161.03,154.63,154.72,153.961722588,2780129,0.0000,1.0
2022-11-08,161.41,165.1,159.77,163.11,162.310603486,2659159,0.0000,1.0
2022-11-07,152.7,158.22,151.31,157.9,157.126137517,2451175,0.0000,1.0
2022-11-04,149.9,151.84,146.93,151.06,150.319660122,2385672,0.0000,1.0
2022-11-03,146.39,146.39,142.755,144.85,144.140095119,2373323,0.0000,1.0
2022-11-02,151.95,158.5,148.41,148.61,147.881667488,2977969,0.0000,1.0
2022-11-01,150.48,153.85,147.8,151.85,151.105788359,4306559,0.0000,1.0
2022-10-31,149.77,150.58,145.54,146.08,145.364066932,3307191,0.0000,1.0
2022-10-28,145.96,152.19,145.0,151.66,150.916719543,2552031,0.0000,1.0
2022-10-27,149.33,151.86,144.86,145.12,144.408771859,2197887,0.0000,1.0
2022-10-26,146.69,152.64,144.14,147.28,146.558185773,2023382,0.0000,1.0
2022-10-25,145.44,148.79,144.81,148.74,148.011030363,2831861,0.0000,1.0
2022-10-24,144.01,145.77,140.45,144.94,144.229654032,1921732,0.0000,1.0
2022-10-21,138.71,145.59,137.51,145.25,144.538134733,2496459,0.0000,1.0
2022-10-20,142.08,143.74,138.575,139.04,138.35856973,2895772,0.0000,1.0
2022-10-19,140.37,143.975,139.83,141.32,140.627395528,2160432,0.0000,1.0
2022-10-18,143.44,146.4754,137.73,140.95,140.259208886,2218572,0.0000,1.0
2022-10-17,141.81,143.165,139.5,141.27,140.577640577,1972101,0.0000,1.0
2022-10-14,144.9,145.54,137.08,138.09,137.413225647,2893033,0.0000,1.0
2022-10-13,134.19,145.24,132.08,143.17,142.468328742,3307402,0.0000,1.0
2022-10-12,142.55,143.79,140.13,140.28,139.592492533,2066889,0.0000,1.0
2022-10-11,145.0,145.775,141.5622,143.75,143.045486182,3004364,0.0000,1.0
2022-10-10,151.74,151.96,146.08,147.5,146.77710756,1812098,0.0000,1.0
2022-10-07,154.87,154.87,150.3622,151.75,151.006278456,2753027,0.0000,1.0
2022-10-06,161.26,163.785,158.87,158.99,158.210795464,1559992,0.0000,1.0
2022-10-05,156.83,162.35,155.13,161.24,160.449768292,1904454,0.0000,1.0
2022-10-04,156.48,159.96,155.49,159.89,159.106384595,2392218,0.0000,1.0
2022-10-03,149.52,153.9,147.8,151.96,151.215249253,2415512,0.0000,1.0
2022-09-30,149.75,152.79,147.43,147.51,146.787058551,2112798,0.0000,1.0
2022-09-29,153.96,155.04,146.95,151.01,150.269905171,2841081,0.0000,1.0
2022-09-28,152.95,157.1,152.27,156.44,155.673292927,2103774,0.0000,1.0
2022-09-27,154.41,156.5,150.75,153.51,152.757652756,1741513,0.0000,1.0
2022-09-26,153.05,154.9631,151.24,151.95,151.205298263,2167962,0.0000,1.0
2022-09-23,152.73,153.37,148.42,152.94,152.190446307,2680335,0.0000,1.0
2022-09-22,158.92,159.9,154.16,155.13,154.369713192,2088120,0.0000,1.0
2022-09-21,161.85,166.71,159.13,159.17,158.389913291,1528456,0.0000,1.0
2022-09-20,160.35,162.55,159.505,160.9,160.11143462,1358006,0.0000,1.0
2022-09-19,158.27,163.38,157.81,163.1,162.300652495,1582357,0.0000,1.0
2022-09-16,158.56,160.675,156.855,159.94,159.156139547,2506530,0.0000,1.0
2022-09-15,159.06,161.9899,156.83,159.68,158.897413798,2340267,0.0000,1.0
