timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-12-20,50.07,51.52,50.05,51.005,51.005,2468337,0.7000,1.0
2022-12-19,52.0,52.69,50.4,50.99,50.2996799149,2546303,0.0000,1.0
2022-12-16,51.88,52.78,51.325,52.13,51.4242462044,4321323,0.0000,1.0
2022-12-15,53.49,53.81,52.175,52.37,51.6609970022,4101602,0.0000,1.0
2022-12-14,55.55,56.7,54.41,54.75,54.008775747,2212788,0.0000,1.0
2022-12-13,57.6,58.18,55.86,56.17,55.4095513006,2858998,0.0000,1.0
2022-12-12,54.0,55.69,53.33,55.62,54.866997389,2566585,0.0000,1.0
2022-12-09,54.17,55.72,53.96,54.14,53.407034136,2454939,0.0000,1.0
2022-12-08,52.98,54.98,52.8,54.43,53.6931080166,2433576,0.0000,1.0
2022-12-07,51.46,53.18,51.33,52.57,51.8582893337,1835099,0.0000,1.0
2022-12-06,52.25,52.689,51.57,52.2,51.4932985205,2660370,0.0000,1.0
2022-12-05,52.92,53.9,52.12,52.25,51.5426216033,1867779,0.0000,1.0
2022-12-02,52.0,53.05,51.55,52.97,52.2528739967,1992809,0.0000,1.0
2022-12-01,53.34,53.87,52.77,53.3,52.5784063437,2449230,0.0000,1.0
2022-11-30,50.86,53.1,49.68,52.97,52.2528739967,4164365,0.0000,1.0
2022-11-29,51.9,52.29,51.18,51.45,50.7534522773,2313568,0.0000,1.0
2022-11-28,54.11,54.475,52.14,52.31,51.6018093028,2083259,0.0000,1.0
2022-11-25,54.6,55.42,54.43,54.7,53.9594526642,883006,0.0000,1.0
2022-11-23,54.34,54.96,54.11,54.81,54.0679634465,1213939,0.0000,1.0
2022-11-22,54.56,54.83,53.6,54.11,53.3774402862,1647506,0.0000,1.0
2022-11-21,53.94,54.555,53.33,54.1,53.3675756697,1668295,0.0000,1.0
2022-11-18,55.11,55.22,53.625,54.57,53.8312126487,1405324,0.0000,1.0
2022-11-17,52.95,54.61,52.665,54.41,53.6733787835,1314313,0.0000,1.0
2022-11-16,55.0,55.0,52.23,53.91,53.1801479547,2886156,0.0000,1.0
2022-11-15,57.87,58.06,55.57,55.73,54.9755081714,3516354,0.0000,1.0
2022-11-14,56.54,57.6,56.33,56.39,55.6265728653,2131300,0.0000,1.0
2022-11-11,54.0,57.6,53.95,57.15,56.376283725,2597627,0.0000,1.0
2022-11-10,53.2,54.68,52.96,53.8,53.0716371724,3155544,0.0000,1.0
2022-11-09,52.18,52.3,50.54,50.59,49.9050952519,1933054,0.0000,1.0
2022-11-08,53.1,54.0752,52.19,53.0,52.2824678464,2848877,0.0000,1.0
2022-11-07,51.48,52.87,51.0,52.57,51.8582893337,2224578,0.0000,1.0
2022-11-04,49.82,51.36,49.645,51.12,50.4279199304,2675030,0.0000,1.0
2022-11-03,48.735,49.075,47.47,48.49,47.8335257712,2154733,0.0000,1.0
2022-11-02,50.82,51.27,49.44,49.49,48.8199874287,2402896,0.0000,1.0
2022-11-01,50.5,51.7,49.75,51.03,50.3391383812,2529010,0.0000,1.0
